Brand Name,Alcohol Type,Total Consumption (ml),Consumption Percentage (%),Cumulative Consumption (%),ABC Category
Grey Goose,Vodka,158924.02,8.072611394165168,8.072611394165168,A
Jim Beam,Whiskey,139702.43,7.096242771926874,15.168854166092043,A
Captain Morgan,Rum,138035.53,7.0115718962912466,22.18042606238329,A
Barefoot,Wine,132312.95,6.720891075909144,28.901317138292434,A
Yellow Tail,Wine,129843.65,6.59546196006113,35.496779098353564,A
Smirnoff,Vodka,129176.67,6.561582434815794,42.05836153316936,A
Bacardi,Rum,127951.8,6.499364656040936,48.5577261892103,A
Malibu,Rum,127279.51,6.465215407147136,55.022941596357434,A
Jack Daniels,Whiskey,125050.89,6.352011731546277,61.37495332790371,A
Absolut,Vodka,123659.02,6.281311118629509,67.65626444653321,A
Jameson,Whiskey,120001.14,6.095507589581548,73.75177203611476,B
Sutter Home,Wine,117245.66,5.955541842148313,79.70731387826307,B
Miller,Beer,107719.33,5.471647965674653,85.17896184393771,B
Coors,Beer,97999.32,4.977916033412939,90.15687787735065,C
Heineken,Beer,96967.09,4.925483483195551,95.0823613605462,C
Budweiser,Beer,96812.65,4.9176386394537746,99.99999999999997,C
