Bar Name,Brand Name,Forecasted Daily Demand (ml),Forecast RMSE (ml),Safety Stock (ml),Lead Time Demand (ml),Dynamic Par Level (ml),Par Level (Litres)
Brown's Bar,Yellow Tail,100.43366380978627,192.90768773545435,448.77683932308975,200.86732761957254,649.6441669426623,0.6496441669426624
Taylor's Bar,Grey Goose,104.20164294949718,171.15065221086152,398.1616785154139,208.40328589899437,606.5649644144082,0.6065649644144082
Brown's Bar,Grey Goose,69.00286704845215,199.67755897494365,464.5261412464465,138.0057340969043,602.5318753433507,0.6025318753433507
Brown's Bar,Jameson,66.06352317746708,194.72042251718275,452.9939516394777,132.12704635493415,585.1209979944118,0.5851209979944119
Thomas's Bar,Bacardi,72.53696649642384,185.89362756160844,432.4594608267116,145.0739329928477,577.5333938195593,0.5775333938195593
Brown's Bar,Jim Beam,76.69357197836749,180.61163353657665,420.17152864679804,153.38714395673497,573.5586726035331,0.5735586726035331
Anderson's Bar,Barefoot,109.63927918616334,148.52113323610533,345.51678851590304,219.27855837232667,564.7953468882297,0.5647953468882296
Anderson's Bar,Smirnoff,69.65787827917333,180.2585164031527,419.35004354732314,139.31575655834666,558.6658001056699,0.5586658001056699
Anderson's Bar,Jim Beam,53.91192520981561,193.61690198828828,450.4267421057418,107.82385041963121,558.250592525373,0.558250592525373
Taylor's Bar,Jim Beam,50.651607125021705,196.15611242526515,456.33391380874514,101.30321425004341,557.6371280587886,0.5576371280587885
Smith's Bar,Absolut,106.94587379488789,145.5010504612817,338.4909243935871,213.89174758977578,552.3826719833628,0.5523826719833628
Anderson's Bar,Sutter Home,64.70390819408331,180.24405185012776,419.31639348150696,129.40781638816662,548.7242098696736,0.5487242098696736
Thomas's Bar,Grey Goose,53.02143070931495,189.14079917637437,440.0136201820025,106.0428614186299,546.0564816006324,0.5460564816006325
Smith's Bar,Grey Goose,78.79108369347418,165.87868559589876,385.8970739148736,157.58216738694836,543.479241301822,0.5434792413018219
Johnson's Bar,Grey Goose,51.33204476448039,187.3691729224218,435.8921419763181,102.66408952896079,538.5562315052789,0.5385562315052789
Anderson's Bar,Jack Daniels,58.00156382592286,179.40513290091442,417.36474811736514,116.00312765184572,533.3678757692109,0.5333678757692109
Thomas's Bar,Smirnoff,73.66300498806844,164.80053918786282,383.3888942616633,147.32600997613687,530.7149042378002,0.5307149042378002
Thomas's Bar,Yellow Tail,45.88501587788995,185.09960507129654,430.61226174544805,91.7700317557799,522.382293501228,0.522382293501228
Thomas's Bar,Malibu,99.21396027801192,137.23473421705285,319.26032077960616,198.42792055602385,517.68824133563,0.51768824133563
Thomas's Bar,Jim Beam,88.75608106977077,145.3698644500039,338.18573570880335,177.51216213954154,515.6978978483448,0.5156978978483449
Johnson's Bar,Jim Beam,78.03431234991507,152.61718495135455,355.0457666714772,156.06862469983014,511.11439137130736,0.5111143913713073
Johnson's Bar,Smirnoff,100.32350887713096,133.26470553234222,310.0245202469196,200.64701775426192,510.67153800118155,0.5106715380011816
Anderson's Bar,Captain Morgan,88.68524261158817,141.2951115816153,328.7063067924925,177.37048522317633,506.07679201566884,0.5060767920156688
Brown's Bar,Bacardi,87.86816772458128,141.4118470922077,328.9778781025601,175.73633544916257,504.71421355172265,0.5047142135517226
Brown's Bar,Coors,24.957878909110708,194.57665639398292,452.65949681743956,49.915757818221415,502.575254635661,0.502575254635661
Johnson's Bar,Absolut,78.04821125062594,148.71201242338168,345.96084628967054,156.09642250125188,502.0572687909224,0.5020572687909224
Johnson's Bar,Malibu,46.586759381645116,175.49337878361922,408.26451644916824,93.17351876329023,501.4380352124585,0.5014380352124584
Johnson's Bar,Budweiser,83.01420332456041,141.75475317496077,329.7756084045978,166.02840664912083,495.8040150537186,0.4958040150537186
Taylor's Bar,Sutter Home,15.750194008926739,198.7037404435121,462.2606680154915,31.500388017853478,493.76105603334497,0.49376105603334497
Anderson's Bar,Bacardi,66.59660843321566,154.69398534144597,359.87719628380205,133.19321686643133,493.0704131502334,0.49307041315023337
Smith's Bar,Sutter Home,53.133597557320115,165.06670007671283,384.0080859789646,106.26719511464023,490.2752810936048,0.4902752810936048
Taylor's Bar,Smirnoff,15.604742622642966,196.60516230354014,457.3785750528684,31.209485245285933,488.58806029815435,0.4885880602981543
Smith's Bar,Yellow Tail,47.42165648538916,166.883489979357,388.2346320528611,94.84331297077831,483.0779450236394,0.48307794502363943
Smith's Bar,Barefoot,70.48563015772179,146.45104896474177,340.7009831566632,140.97126031544357,481.67224347210674,0.48167224347210674
Johnson's Bar,Captain Morgan,72.86325806294354,142.6379522419736,331.8302662071975,145.7265161258871,477.5567823330846,0.4775567823330846
Johnson's Bar,Yellow Tail,54.92952121553012,157.2590830255584,365.84459159471163,109.85904243106025,475.70363402577186,0.47570363402577187
Johnson's Bar,Sutter Home,61.32715156330544,151.3687914542858,352.1415273722414,122.65430312661088,474.7958304988523,0.4747958304988523
Smith's Bar,Malibu,66.75700565868223,146.38710492934203,340.5522249478166,133.51401131736446,474.0662362651811,0.4740662362651811
Brown's Bar,Miller,103.1674213246411,115.02372556770169,267.58904537920307,206.3348426492822,473.9238880284853,0.4739238880284853
Smith's Bar,Jameson,54.631641391440326,156.59329547316676,364.295715876328,109.26328278288065,473.55899865920867,0.4735589986592087
Taylor's Bar,Jack Daniels,76.60726963773598,137.66307148615965,320.2567965968771,153.21453927547196,473.4713358723491,0.4734713358723491
Taylor's Bar,Barefoot,47.98641987705139,160.31136587539476,372.9453653697211,95.97283975410278,468.9182051238239,0.4689182051238239
Thomas's Bar,Jack Daniels,78.81502128094748,131.05396265212875,304.8814893289461,157.63004256189495,462.51153189084107,0.46251153189084104
Anderson's Bar,Miller,77.24546467071268,132.1515586878617,307.4349162325192,154.49092934142536,461.92584557394457,0.46192584557394456
Brown's Bar,Smirnoff,47.976561333516855,154.05988379751332,358.4020343032892,95.95312266703371,454.3551569703229,0.4543551569703229
Brown's Bar,Malibu,36.70687707506795,163.19677736474017,379.65793273049286,73.4137541501359,453.07168688062876,0.45307168688062877
Taylor's Bar,Malibu,62.59660565059056,140.0604282568195,325.8339625817909,125.19321130118112,451.027173882972,0.45102717388297203
Taylor's Bar,Absolut,49.42170634414359,151.3654979729434,352.1338654788013,98.84341268828717,450.97727816708846,0.45097727816708844
Thomas's Bar,Miller,66.1081050031153,136.64051068161382,317.87793025273703,132.2162100062306,450.0941402589676,0.4500941402589676
Johnson's Bar,Heineken,23.54229662850423,170.72491782999586,397.1712580086994,47.08459325700846,444.25585126570786,0.4442558512657079
Taylor's Bar,Jameson,26.93203476676523,167.3955540781853,389.4258884019505,53.86406953353046,443.28995793548097,0.443289957935481
Smith's Bar,Bacardi,46.932282641497956,144.26053974249393,335.6050234424159,93.86456528299591,429.4695887254118,0.4294695887254118
Taylor's Bar,Captain Morgan,27.300139308383333,159.6736981995102,371.461907206486,54.600278616766666,426.06218582325266,0.42606218582325267
Brown's Bar,Barefoot,46.074512650108545,141.7652699311954,329.80007438974496,92.14902530021709,421.94909968996205,0.4219490996899621
Brown's Bar,Absolut,79.49429065752936,113.01883637890424,262.92490864155565,158.98858131505872,421.9134899566144,0.4219134899566144
Johnson's Bar,Coors,44.308193361746476,142.79989095626001,332.2069974054956,88.61638672349295,420.82338412898855,0.42082338412898856
Taylor's Bar,Bacardi,52.15990418646154,135.26184716346006,314.6706332111823,104.31980837292308,418.9904415841054,0.41899044158410537
Thomas's Bar,Budweiser,52.916176825139146,132.77540412709257,308.88621860273935,105.83235365027829,414.71857225301767,0.41471857225301767
Johnson's Bar,Jack Daniels,38.088875833975685,144.41425302608783,335.96261915248346,76.17775166795137,412.14037082043484,0.41214037082043486
Anderson's Bar,Jameson,57.50635136007722,127.61832803838442,296.8888931751858,115.01270272015444,411.9015958953402,0.4119015958953402
Johnson's Bar,Miller,30.356518934098027,150.1357608368244,349.27302798899353,60.713037868196054,409.9860658571896,0.4099860658571896
Smith's Bar,Heineken,31.9469816375674,148.2073622458162,344.78683754844167,63.8939632751348,408.6808008235765,0.4086808008235765
Brown's Bar,Budweiser,57.988824681004914,125.67738788443032,292.3735262769971,115.97764936200983,408.3511756390069,0.4083511756390069
Anderson's Bar,Coors,36.432582024273614,142.54513201322354,331.61433096183373,72.86516404854723,404.47949501038096,0.40447949501038094
Thomas's Bar,Captain Morgan,34.031828045443966,143.547801493682,333.9469225013837,68.06365609088793,402.01057859227166,0.4020105785922717
Smith's Bar,Jack Daniels,64.06060030138771,117.53251353316821,273.4254428130776,128.12120060277542,401.54664341585305,0.40154664341585306
Smith's Bar,Jim Beam,55.961967209132126,124.357418600506,289.30277440496457,111.92393441826425,401.2267088232288,0.4012267088232288
Thomas's Bar,Barefoot,31.079076763717204,145.6506214122984,338.83888345856684,62.15815352743441,400.99703698600126,0.40099703698600125
Taylor's Bar,Miller,51.568391075416685,127.54063569716392,296.7081511646322,103.13678215083337,399.8449333154656,0.3998449333154656
Johnson's Bar,Bacardi,24.096908905345654,150.0406610952909,349.0517897276943,48.19381781069131,397.2456075383856,0.3972456075383856
Smith's Bar,Smirnoff,18.302989426573266,154.86017105901067,360.26380763115077,36.60597885314653,396.8697864842973,0.3968697864842973
Smith's Bar,Budweiser,40.75865352778087,132.69005644444502,308.6876673489674,81.51730705556174,390.20497440452914,0.3902049744045291
Anderson's Bar,Grey Goose,35.19534563749861,135.10396256179226,314.30333342470914,70.39069127499722,384.69402469970635,0.38469402469970637
Anderson's Bar,Yellow Tail,20.41576903229962,145.43813166356435,338.3445512785233,40.83153806459924,379.1760893431225,0.3791760893431225
Brown's Bar,Sutter Home,53.471909406519956,116.27432002076965,270.4984049413398,106.94381881303991,377.4422237543797,0.3774422237543797
Smith's Bar,Captain Morgan,51.26414000440845,118.02322340206467,274.5670210807618,102.5282800088169,377.0953010895787,0.37709530108957867
Brown's Bar,Heineken,37.546227210965725,127.54559800541658,296.7196953858062,75.09245442193145,371.8121498077376,0.37181214980773764
Smith's Bar,Miller,49.1854475814391,116.31200577544435,270.58607637667217,98.3708951628782,368.95697153955035,0.36895697153955037
Thomas's Bar,Absolut,47.61983218738331,117.5331787586168,273.42699038112823,95.23966437476662,368.66665475589485,0.36866665475589483
Johnson's Bar,Jameson,35.66853628731544,122.05149855186019,283.93832510120143,71.33707257463088,355.2753976758323,0.3552753976758323
Anderson's Bar,Heineken,24.508776013808482,131.365496924005,305.6062368364957,49.017552027616965,354.62378886411267,0.35462378886411267
Johnson's Bar,Barefoot,54.61734074219334,104.09125125787914,242.1559414716426,109.23468148438668,351.3906229560293,0.3513906229560293
Anderson's Bar,Absolut,21.817457943306707,131.25899708354657,305.3584775981243,43.63491588661341,348.9933934847377,0.3489933934847377
Thomas's Bar,Coors,42.03446444272206,109.84909210218201,255.55087479838073,84.06892888544412,339.61980368382484,0.33961980368382483
Taylor's Bar,Budweiser,36.64605629972447,111.95254172068056,260.4443006776006,73.29211259944894,333.73641327704956,0.33373641327704956
Brown's Bar,Captain Morgan,54.92985016731781,95.94723189434131,223.20984703518522,109.85970033463562,333.06954736982084,0.33306954736982086
Taylor's Bar,Yellow Tail,22.64830080738817,119.96421833606705,279.08251541823097,45.29660161477634,324.37911703300733,0.3243791170330073
Taylor's Bar,Heineken,46.31896594880148,95.47038891165539,222.10052843241058,92.63793189760295,314.73846033001354,0.3147384603300135
Thomas's Bar,Heineken,31.280400323718563,105.3107084017845,244.99286377969653,62.56080064743713,307.55366442713364,0.30755366442713367
Anderson's Bar,Malibu,45.47332715113532,90.12683512149404,209.6693847654452,90.94665430227064,300.61603906771586,0.30061603906771583
Taylor's Bar,Coors,26.921707652653357,105.0185375515604,244.31316297437806,53.84341530530671,298.15657827968477,0.2981565782796848
Thomas's Bar,Sutter Home,8.766553915141126,113.73455657254654,264.5899467233089,17.53310783028225,282.12305455359115,0.28212305455359116
Smith's Bar,Coors,19.680630623803754,104.12367668445161,242.23137537799295,39.36126124760751,281.59263662560045,0.28159263662560047
Thomas's Bar,Jameson,41.73034429234032,80.62649005945724,187.56795957358642,83.46068858468064,271.02864815826706,0.27102864815826705
Brown's Bar,Jack Daniels,2.870664653858533,91.78431433588956,213.52531343170037,5.741329307717066,219.26664273941742,0.21926664273941743
Anderson's Bar,Budweiser,46.66992006622636,52.67732304017629,122.54753978696334,93.33984013245272,215.88737991941605,0.21588737991941606
