Bar Name,Brand Name,Stockout Events,Stockout-with-Demand Events,Total Consumption (ml),Observed Days,Stockout Event Rate (%)
Taylor's Bar,Yellow Tail,29,4,16415.18,366,7.923497267759563
Thomas's Bar,Yellow Tail,29,5,18394.35,366,7.923497267759563
Thomas's Bar,Jameson,27,4,15837.64,366,7.377049180327869
Brown's Bar,Smirnoff,25,5,17102.29,366,6.830601092896176
Taylor's Bar,Sutter Home,24,5,15951.02,366,6.557377049180328
Anderson's Bar,Yellow Tail,22,5,19760.03,366,6.0109289617486334
Anderson's Bar,Heineken,18,3,17413.71,366,4.918032786885246
Anderson's Bar,Budweiser,16,1,10062.29,366,4.371584699453552
Brown's Bar,Captain Morgan,15,3,17887.5,366,4.098360655737705
Brown's Bar,Malibu,13,3,19057.03,366,3.551912568306011
Taylor's Bar,Malibu,13,2,22042.69,366,3.551912568306011
Thomas's Bar,Coors,11,3,13196.2,366,3.0054644808743167
Thomas's Bar,Jim Beam,11,3,25158.15,366,3.0054644808743167
Taylor's Bar,Heineken,10,2,10108.67,366,2.73224043715847
Anderson's Bar,Malibu,10,1,13594.76,366,2.73224043715847
Thomas's Bar,Budweiser,10,2,15071.1,366,2.73224043715847
Johnson's Bar,Miller,9,3,16325.26,366,2.459016393442623
Brown's Bar,Coors,9,2,14029.01,366,2.459016393442623
Johnson's Bar,Jim Beam,9,2,16581.27,366,2.459016393442623
Brown's Bar,Absolut,8,2,18358.23,366,2.185792349726776
Smith's Bar,Jameson,8,3,18083.46,366,2.185792349726776
Taylor's Bar,Miller,7,2,14317.58,366,1.912568306010929
Smith's Bar,Jack Daniels,7,2,18084.16,366,1.912568306010929
Smith's Bar,Coors,7,3,15173.35,366,1.912568306010929
Thomas's Bar,Barefoot,7,1,21030.86,366,1.912568306010929
Johnson's Bar,Jameson,7,1,17708.62,366,1.912568306010929
Smith's Bar,Bacardi,6,2,19114.25,366,1.639344262295082
Thomas's Bar,Grey Goose,5,1,28510.3,366,1.366120218579235
Taylor's Bar,Budweiser,4,2,22022.14,366,1.092896174863388
Johnson's Bar,Grey Goose,4,2,25454.61,366,1.092896174863388
Brown's Bar,Grey Goose,3,1,27873.3,366,0.819672131147541
Smith's Bar,Jim Beam,3,1,23928.05,366,0.819672131147541
Smith's Bar,Absolut,3,2,27181.45,366,0.819672131147541
Anderson's Bar,Grey Goose,3,2,24026.36,366,0.819672131147541
Smith's Bar,Miller,3,1,20572.98,366,0.819672131147541
Thomas's Bar,Miller,2,1,21842.3,366,0.546448087431694
Taylor's Bar,Coors,2,1,14578.49,366,0.546448087431694
Taylor's Bar,Jameson,2,1,21441.19,366,0.546448087431694
Brown's Bar,Budweiser,2,1,16696.49,366,0.546448087431694
Brown's Bar,Bacardi,2,1,23420.89,366,0.546448087431694
Anderson's Bar,Bacardi,2,2,25966.47,366,0.546448087431694
Anderson's Bar,Captain Morgan,1,1,27066.83,366,0.273224043715847
Johnson's Bar,Absolut,1,1,26070.31,366,0.273224043715847
Brown's Bar,Sutter Home,1,1,20634.920000000002,366,0.273224043715847
Anderson's Bar,Jim Beam,1,1,25888.54,366,0.273224043715847
Johnson's Bar,Yellow Tail,1,1,21600.25,366,0.273224043715847
Taylor's Bar,Captain Morgan,1,1,22766.61,366,0.273224043715847
Taylor's Bar,Absolut,1,1,18506.079999999998,366,0.273224043715847
Taylor's Bar,Smirnoff,1,1,23242.64,366,0.273224043715847
Thomas's Bar,Jack Daniels,1,1,24544.53,366,0.273224043715847
