Bar Name,Brand Name,Total_Demand_ml,Stockout_Days,Lost_Volume_ml,Average_Inventory_ml,Total_Orders,Total_Ordered_ml,Simulation Days,Stockout Rate (%),Inventory Turnover
Anderson's Bar,Barefoot,4204.69,0,0.0,2405.975964696661,2,148.81534688823012,74,0.0,1.7476026617456737
Anderson's Bar,Captain Morgan,5186.27,0,0.0,6088.071486486487,0,0.0,74,0.0,0.8518740312941153
Brown's Bar,Grey Goose,6403.66,0,0.0,1868.1885643469452,6,1948.8718753433504,74,0.0,3.4277375004907498
Brown's Bar,Jameson,6536.21,0,0.0,3414.990783566963,1,138.41099799441236,74,0.0,1.913975882878641
Johnson's Bar,Absolut,4546.96,0,0.0,2239.5260310899284,1,249.28726879092324,74,0.0,2.0303224596979095
Johnson's Bar,Malibu,6299.14,1,13.26999999999984,2877.6930042825966,3,779.5980352124585,74,1.3513513513513513,2.1889548296588934
Johnson's Bar,Miller,4645.79,9,548.049670714052,304.7647011564079,13,3941.8563951431374,74,12.162162162162163,15.243858564892461
Smith's Bar,Absolut,5193.59,3,142.2246560332744,568.963472420067,14,3546.8080159500887,74,4.054054054054054,9.128160684743504
Smith's Bar,Sutter Home,6651.48,0,0.0,3565.3133783783783,0,0.0,74,0.0,1.8656087962246144
Taylor's Bar,Absolut,3834.04,5,623.6981654987347,413.16518795073546,9,2609.6291126683536,74,6.756756756756757,9.279678229950871
Taylor's Bar,Bacardi,2228.82,4,752.2395584158947,405.7044598340428,2,837.9808831682108,74,5.405405405405405,5.493703472995391
Taylor's Bar,Jim Beam,6520.79,4,1186.625743882423,1124.3220027225639,9,3009.2013841763655,74,5.405405405405405,5.799753081599223
Taylor's Bar,Sutter Home,5130.61,9,997.2057758666201,380.66523765046054,11,4184.545280166725,74,12.162162162162163,13.478010316011824
Thomas's Bar,Absolut,3576.98,4,233.1066904882103,313.2329628327213,11,2797.8599642676845,74,5.405405405405405,11.41955165781913
Thomas's Bar,Bacardi,6121.83,0,0.0,1339.2945347476175,6,2379.603393819559,74,0.0,4.570936296065469
Thomas's Bar,Sutter Home,2431.9900000000002,8,653.0377817856355,240.89318231661937,8,1525.5052727679558,74,10.81081081081081,10.095719507758837
