Date,Beginning Inventory (ml),Demand (ml),Arrivals (ml),Ending Inventory (ml),Lost Volume (ml),Order Quantity (ml),Outstanding Inventory (ml),Inventory Position (ml),Bar Name,Brand Name,Par Level (ml),Stockout
2023-10-20,4620.67,587.94,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-21,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-22,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-23,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-24,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-25,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-26,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-27,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-28,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-29,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-30,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-10-31,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-11-01,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
2023-11-02,4032.73,0.0,0.0,4032.73,0.0,0.0,0.0,4032.73,Anderson's Bar,Barefoot,564.7953468882297,False
